name,start,end,order,,,
William A. Egan 1,"January 3, 1959","December 5, 1966",1,,,
Wally Hickel 1,"December 5, 1966","January 29, 1969",2,,,
Keith Harvey Miller,"January 29, 1969","December 7, 1970",3,,,
William A. Egan 2,"December 7, 1970","December 2, 1974",4,,,
Jay Hammond,"December 2, 1974","December 6, 1982",5,,,
Bill Sheffield,"December 6, 1982","December 1, 1986",6,,,
Steve Cowper,"December 1, 1986","December 3, 1990",7,,,
Wally Hickel 2,"December 3, 1990","December 5, 1994",8,,,
Tony Knowles,"December 5, 1994","December 2, 2002",9,,,
Frank Murkowski,"December 2, 2002","December 4, 2006",10,,,
Sarah Palin,"December 4, 2006","July 26, 2009",11,,,
Sean Parnell,"July 26, 2009","December 1, 2014",12,,,
Bill Walker,"December 1, 2014","November 22, 2018",13,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,